battery,cycle,v_mean,v_min,v_max,v_std,i_mean,i_std,t_mean,t_min,t_max,t_std,discharge_duration,delta_v,soc
B0018,3,3.531980763564721,2.472160843460044,3.977432055654197,0.2225322100203336,-1.992297610664327,0.183013537284383,31.73224084886756,23.84494448928013,38.0711698137954,3.2961117651947967,3415.313,1.505271212194153,0.9993188283965461
B0018,7,3.536679572390952,2.4114381994148304,3.9830697832702464,0.2293541365525412,-1.9802867427538964,0.2364482377323691,31.90487267484507,24.348535384526755,38.14987995994155,3.203180487165023,3405.813,1.571631583855416,0.9965391332793585
B0018,11,3.5425807518885057,2.394395968141027,4.188811210133346,0.2294116768465349,-1.979717825364292,0.2375267423014724,31.27203035213361,23.74389424918881,37.5266914843442,3.2049409119553567,3410.375,1.7944152419923185,0.9978739721345805
B0018,15,3.543933265993688,2.3999481734774424,4.188875360300162,0.2309391511379597,-1.9682858105626169,0.2809448846701194,30.75365133836021,23.227856809949373,37.06279237079503,3.2476690035207394,3404.719,1.7889271868227192,0.9962190294416529
B0018,18,3.5488896864077035,2.3851461229395867,4.189908817357781,0.2338185090974119,-1.9634742565098509,0.3004970617779646,31.88620155993708,24.41464171159345,38.2110354381278,3.261561125155905,3417.641,1.8047626944181947,1.0
B0018,20,3.549760024144016,2.371677070838912,4.190288371391284,0.2327949832390871,-1.9680931164693292,0.2829922230648105,31.97665931442893,24.695286535085184,38.17496505957075,3.149907975977611,3411.766,1.818611300552372,0.998280978019634
B0018,22,3.549473515045623,2.49644915770408,3.993801632544399,0.2226753256170495,-1.96751030507556,0.2846549125589223,31.612708878375187,24.337189466071244,37.64038685475582,3.123806989286129,3379.625,1.4973524748403193,0.9888765379394734
B0018,24,3.550347288247336,2.4374506721131883,4.190302498850287,0.2274147549625704,-1.9674739355011464,0.2857216875124599,31.22689707747769,23.9227395915064,37.37602884738843,3.1636237691111977,3379.422,1.752851826737099,0.9888171402438114
B0018,27,3.546770651502268,2.4152206992194847,3.9911591439209673,0.2268035212627137,-1.9729948000323505,0.2666541771411613,31.07200682507345,23.67797156846639,37.28928029078695,3.193214681589548,3350.078,1.5759384447014826,0.980231100926048
B0018,30,3.5455548180266256,2.377432309524995,3.994471564040341,0.2296263705808172,-1.9732896367279844,0.265788477003911,31.106194047986342,23.629058810354543,37.45364446005693,3.252495332654892,3384.0,1.6170392545153458,0.9901566606908098
B0018,32,3.5510536477549093,2.3887487262583647,4.190699409462101,0.2304279530361803,-1.9666512568811847,0.2879956147108987,31.44815624277413,24.128289583549112,37.72420412562674,3.190240720155232,3396.141,1.8019506832037364,0.9937091110505756
B0018,34,3.5532951391610825,2.432289857016922,3.995351382925073,0.2208804346784546,-1.9838792143323776,0.2208800166318627,31.21782768025756,24.02960127779589,37.33609990125393,3.099379166519534,3363.938,1.563061525908151,0.9842865298022817
B0018,36,3.5578337422326785,2.497495633221204,4.189633938587357,0.2177424469441936,-1.995679162787992,0.1580094080299998,30.718781166241,23.554546705686526,36.86738796169137,3.1059958511638674,3287.281,1.6921383053661527,0.9618567310024663
B0018,39,3.546172828958916,2.478768686108376,4.188143316830064,0.2246625150883514,-1.9527983714759565,0.3298641223766812,30.478693048583967,23.09050168217513,36.63645368396661,3.22559840383462,3357.797,1.7093746307216875,0.9824896763586345
B0018,42,3.544147142948023,2.385849407868021,3.9966517193241007,0.2282078473590373,-1.9536118923709256,0.3305080612213738,30.796546466882965,23.331851849122263,37.03299324564395,3.2666206700414926,3342.75,1.6108023114560797,0.9780869318924954
B0018,44,3.549475499489536,2.372854084449551,4.189873338315674,0.2306740263640405,-1.9585483162486472,0.3144119728164271,31.35209587043182,24.01525333660322,37.58137605860514,3.239031518992792,3348.437,1.8170192538661225,0.9797509451694897
B0018,46,3.5501437883788003,2.4086912736769084,4.19075698083662,0.2311327784066943,-1.963822013163834,0.2958646223901104,31.414983742991957,24.23041646524131,37.590724855700856,3.173863573517481,3269.719,1.782065707159712,0.9567180988289876
B0018,48,3.552025316111086,2.496331992137246,3.994305951524076,0.217439345360532,-1.9820328977786776,0.2271967359065894,30.9589921359488,23.81541082016408,37.06827274405187,3.1172299367056944,3319.454,1.49797395938683,0.9712705342661795
B0018,51,3.5475670865441487,2.4199896352919668,3.990202870229397,0.2218094427893981,-1.994648463577312,0.1625070350659973,30.39410640174039,23.14082345517924,36.68391935851509,3.167312215319764,3253.125,1.5702132349374305,0.9518627029579759
B0018,54,3.5390037237020318,2.3587321881999297,4.191004692440202,0.2345684976136855,-1.9494581317739488,0.3380831151368789,30.14753968665756,22.78096726207093,36.521276607818194,3.275083185262963,3291.125,1.832272504240272,0.9629814834267262
B0018,56,3.5367152345105186,2.4458096660548825,3.991765844739718,0.2256339915909081,-1.9430626117445893,0.3568593132034955,30.04230693038704,22.606986188834963,36.372087786130464,3.2784442205968096,3281.39,1.5459561786848357,0.9601330274303239
B0018,58,3.538331470382509,2.3808537751929744,4.185877977731026,0.2346976052714831,-1.9356607738767688,0.3753886896368854,30.07934385697249,22.714077867822585,36.52608510498833,3.3169269319389296,3294.625,1.805024202538052,0.9640055816277953
B0018,60,3.5390600422480207,2.436955746154759,4.187786648624781,0.2301708741978249,-1.9612017278149712,0.3044899469795791,30.034987282135447,22.661790233729448,36.476252762052624,3.296082167128786,3278.609,1.7508309024700217,0.959319308259703
